origin,n
42,2
43,4
44,1
45,1
46,4
47,4
48,3
49,4
50,8
51,4
52,4
53,5
54,4
55,7
56,11
57,8
58,9
59,9
60,10
61,9
62,10
63,6
64,15
65,16
66,10
67,8
68,12
69,10
70,12
71,17
72,11
73,21
74,21
75,16
76,13
77,28
78,32
79,31
80,14
81,21
82,22
83,32
84,25
85,43
86,27
87,20
88,11
89,34
90,30
91,11
92,19
93,27
94,20
95,18
96,28
97,22
98,16
99,25
100,14
101,30
102,15
103,40
104,26
105,15
106,18
107,22
108,21
109,18
110,21
111,18
112,15
113,14
114,22
115,19
116,11
117,23
118,12
119,17
120,14
121,20
122,18
123,12
124,23
125,10
126,7
127,16
128,19
129,10
130,11
131,9
132,14
133,9
134,19
135,12
136,9
137,10
138,11
139,10
140,7
141,9
142,7
143,2
144,4
145,8
146,0
147,4
148,3
149,6
150,2
151,2
152,5
153,2
154,3
155,2
156,5
157,3
158,3
159,7
160,2
