"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
80,1,0.001,"4","4",0,1.62391574502802,4.3134972720545
81,1,0.001,"5","5",1,1.53732142827244,4.57968254642489
82,1,0.001,"6","6",1,1.53732142827244,4.57968254642489
83,1,0.001,"7","7",0,1.62391574502802,4.3134972720545
84,1,0.001,"1","1",0,1.62391574502802,4.3134972720545
85,1,0.001,"2","2",0,1.62391574502802,4.3134972720545
86,1,0.001,"3","3",0,1.62391574502802,4.3134972720545
87,1,0.001,"4","4",0,1.62391574502802,4.3134972720545
88,1,0.001,"5","5",1,1.53732142827244,4.57968254642489
89,1,0.001,"6","6",1,1.53732142827244,4.57968254642489
90,1,0.001,"7","7",0,1.62391574502802,4.3134972720545
91,1,0.001,"1","1",0,1.62391574502802,4.3134972720545
92,1,0.001,"2","2",0,1.62391574502802,4.3134972720545
93,1,0.001,"3","3",0,1.62391574502802,4.3134972720545
94,1,0.001,"4","4",0,1.62391574502802,4.3134972720545
95,1,0.001,"5","5",1,1.53732142827244,4.57968254642489
96,1,0.001,"6","6",1,1.53732142827244,4.57968254642489
97,1,0.001,"7","7",0,1.62391574502802,4.3134972720545
98,1,0.001,"1","1",0,1.62391574502802,4.3134972720545
99,1,0.001,"2","2",0,1.62391574502802,4.3134972720545
100,1,0.001,"3","3",0,1.62391574502802,4.3134972720545
101,1,0.001,"4","4",0,1.62391574502802,4.3134972720545
102,1,0.001,"5","5",1,1.53732142827244,4.57968254642489
103,1,0.001,"6","6",1,1.53732142827244,4.57968254642489
104,1,0.001,"7","7",0,1.62391574502802,4.3134972720545
105,1,0.001,"1","1",0,1.62391574502802,4.3134972720545
106,1,0.001,"2","2",0,1.62391574502802,4.3134972720545
107,1,0.001,"3","3",0,1.62391574502802,4.3134972720545
108,1,0.001,"4","4",0,1.62391574502802,4.3134972720545
109,1,0.001,"5","5",1,1.53732142827244,4.57968254642489
110,1,0.001,"6","6",1,1.53732142827244,4.57968254642489
111,1,0.001,"7","7",0,1.62391574502802,4.3134972720545
112,1,0.001,"1","1",0,1.62391574502802,4.3134972720545
113,1,0.001,"2","2",0,1.62391574502802,4.3134972720545
114,1,0.001,"3","3",0,1.62391574502802,4.3134972720545
115,1,0.001,"4","4",0,1.62391574502802,4.3134972720545
116,1,0.001,"5","5",1,1.53732142827244,4.57968254642489
117,1,0.001,"6","6",1,1.53732142827244,4.57968254642489
118,1,0.001,"7","7",0,1.62391574502802,4.3134972720545
119,1,0.001,"1","1",0,1.62391574502802,4.3134972720545
120,1,0.001,"2","2",0,1.62391574502802,4.3134972720545
121,1,0.001,"3","3",0,1.62391574502802,4.3134972720545
122,1,0.001,"4","4",0,1.62391574502802,4.3134972720545
123,1,0.001,"5","5",1,1.53732142827244,4.57968254642489
124,1,0.001,"6","6",1,1.53732142827244,4.57968254642489
125,1,0.001,"7","7",0,1.62391574502802,4.3134972720545
126,1,0.001,"1","1",0,1.62391574502802,4.3134972720545
127,1,0.001,"2","2",0,1.62391574502802,4.3134972720545
128,1,0.001,"3","3",0,1.62391574502802,4.3134972720545
129,1,0.001,"4","4",0,1.62391574502802,4.3134972720545
130,1,0.001,"5","5",1,1.53732142827244,4.57968254642489
131,1,0.001,"6","6",1,1.53732142827244,4.57968254642489
132,1,0.001,"7","7",0,1.62391574502802,4.3134972720545
133,1,0.001,"1","1",0,1.62391574502802,4.3134972720545
134,1,0.001,"2","2",0,1.62391574502802,4.3134972720545
135,1,0.001,"3","3",0,1.62391574502802,4.3134972720545
136,1,0.001,"4","4",0,1.62391574502802,4.3134972720545
137,1,0.001,"5","5",1,1.53732142827244,4.57968254642489
138,1,0.001,"6","6",1,1.53732142827244,4.57968254642489
139,1,0.001,"7","7",0,1.62391574502802,4.3134972720545
140,1,0.001,"1","1",0,1.62391574502802,4.3134972720545
80,2,0,"4","5",0,1.62391574502802,4.3134972720545
81,2,0,"5","6",1,1.53732142827244,4.57968254642489
82,2,0,"6","7",1,1.53732142827244,4.57968254642489
83,2,0,"7","1",0,1.62391574502802,4.3134972720545
84,2,0,"1","2",0,1.62391574502802,4.3134972720545
85,2,0,"2","3",0,1.62391574502802,4.3134972720545
86,2,0,"3","4",0,1.62391574502802,4.3134972720545
87,2,0,"4","5",0,1.62391574502802,4.3134972720545
88,2,0,"5","6",1,1.53732142827244,4.57968254642489
89,2,0,"6","7",1,1.53732142827244,4.57968254642489
90,2,1,"7","1",0,1.62391574502802,4.3134972720545
91,2,0,"1","2",0,1.62391574502802,4.3134972720545
92,2,0,"2","3",0,1.62391574502802,4.3134972720545
93,2,0,"3","4",0,1.62391574502802,4.3134972720545
94,2,0,"4","5",0,1.62391574502802,4.3134972720545
95,2,0,"5","6",1,1.53732142827244,4.57968254642489
96,2,0,"6","7",1,1.53732142827244,4.57968254642489
97,2,0,"7","1",0,1.62391574502802,4.3134972720545
98,2,1,"1","2",0,1.62391574502802,4.3134972720545
99,2,0,"2","3",0,1.62391574502802,4.3134972720545
100,2,0,"3","4",0,1.62391574502802,4.3134972720545
101,2,0,"4","5",0,1.62391574502802,4.3134972720545
102,2,0,"5","6",1,1.53732142827244,4.57968254642489
103,2,0,"6","7",1,1.53732142827244,4.57968254642489
104,2,0,"7","1",0,1.62391574502802,4.3134972720545
105,2,0,"1","2",0,1.62391574502802,4.3134972720545
106,2,0,"2","3",0,1.62391574502802,4.3134972720545
107,2,0,"3","4",0,1.62391574502802,4.3134972720545
108,2,0,"4","5",0,1.62391574502802,4.3134972720545
109,2,0,"5","6",1,1.53732142827244,4.57968254642489
110,2,0,"6","7",1,1.53732142827244,4.57968254642489
111,2,0,"7","1",0,1.62391574502802,4.3134972720545
112,2,0,"1","2",0,1.62391574502802,4.3134972720545
113,2,0,"2","3",0,1.62391574502802,4.3134972720545
114,2,0,"3","4",0,1.62391574502802,4.3134972720545
115,2,0,"4","5",0,1.62391574502802,4.3134972720545
116,2,0,"5","6",1,1.53732142827244,4.57968254642489
117,2,0,"6","7",1,1.53732142827244,4.57968254642489
118,2,0,"7","1",0,1.62391574502802,4.3134972720545
119,2,0,"1","2",0,1.62391574502802,4.3134972720545
120,2,0,"2","3",0,1.62391574502802,4.3134972720545
121,2,0,"3","4",0,1.62391574502802,4.3134972720545
122,2,0,"4","5",0,1.62391574502802,4.3134972720545
123,2,0,"5","6",1,1.53732142827244,4.57968254642489
124,2,0,"6","7",1,1.53732142827244,4.57968254642489
125,2,0,"7","1",0,1.62391574502802,4.3134972720545
126,2,0,"1","2",0,1.62391574502802,4.3134972720545
127,2,0,"2","3",0,1.62391574502802,4.3134972720545
128,2,0,"3","4",0,1.62391574502802,4.3134972720545
