"origin","dev","value","dow_origin","dow_dev","weekend_reporting","var1","var2"
59,1,0.001,"4","4",0,2.12921398715617,15.2407806384086
60,1,0.001,"5","5",1,2.12921398715617,15.2407806384086
61,1,0.001,"6","6",1,2.12921398715617,15.2407806384086
62,1,0.001,"7","7",0,2.12921398715617,15.2407806384086
63,1,0.001,"1","1",0,2.12921398715617,15.2407806384086
64,1,0.001,"2","2",0,2.12921398715617,15.2407806384086
65,1,0.001,"3","3",0,2.12921398715617,15.2407806384086
66,1,0.001,"4","4",0,2.12921398715617,15.2407806384086
67,1,0.001,"5","5",1,2.12921398715617,15.2407806384086
68,1,0.001,"6","6",1,2.12921398715617,15.2407806384086
69,1,0.001,"7","7",0,2.12921398715617,15.2407806384086
70,1,0.001,"1","1",0,2.12921398715617,15.2407806384086
71,1,0.001,"2","2",0,2.12921398715617,15.2407806384086
72,1,0.001,"3","3",0,2.12921398715617,15.2407806384086
73,1,0.001,"4","4",0,2.12921398715617,15.2407806384086
74,1,0.001,"5","5",1,2.12921398715617,15.2407806384086
75,1,0.001,"6","6",1,2.12921398715617,15.2407806384086
76,1,0.001,"7","7",0,2.12921398715617,15.2407806384086
77,1,0.001,"1","1",0,2.12921398715617,15.2407806384086
78,1,0.001,"2","2",0,2.12921398715617,15.2407806384086
79,1,0.001,"3","3",0,2.12921398715617,15.2407806384086
80,1,0.001,"4","4",0,2.12921398715617,15.2407806384086
81,1,0.001,"5","5",1,2.12921398715617,15.2407806384086
82,1,0.001,"6","6",1,2.12921398715617,15.2407806384086
83,1,0.001,"7","7",0,2.12921398715617,15.2407806384086
84,1,0.001,"1","1",0,2.12921398715617,15.2407806384086
85,1,0.001,"2","2",0,2.12921398715617,15.2407806384086
86,1,0.001,"3","3",0,2.12921398715617,15.2407806384086
87,1,0.001,"4","4",0,2.12921398715617,15.2407806384086
88,1,0.001,"5","5",1,2.12921398715617,15.2407806384086
89,1,0.001,"6","6",1,2.12921398715617,15.2407806384086
90,1,0.001,"7","7",0,2.12921398715617,15.2407806384086
91,1,0.001,"1","1",0,2.12921398715617,15.2407806384086
92,1,0.001,"2","2",0,2.12921398715617,15.2407806384086
93,1,0.001,"3","3",0,2.12921398715617,15.2407806384086
94,1,0.001,"4","4",0,2.12921398715617,15.2407806384086
95,1,0.001,"5","5",1,2.12921398715617,15.2407806384086
96,1,0.001,"6","6",1,2.12921398715617,15.2407806384086
97,1,0.001,"7","7",0,2.12921398715617,15.2407806384086
98,1,0.001,"1","1",0,2.12921398715617,15.2407806384086
99,1,0.001,"2","2",0,2.12921398715617,15.2407806384086
100,1,0.001,"3","3",0,2.12921398715617,15.2407806384086
101,1,0.001,"4","4",0,2.12921398715617,15.2407806384086
102,1,0.001,"5","5",1,2.12921398715617,15.2407806384086
103,1,0.001,"6","6",1,2.12921398715617,15.2407806384086
104,1,0.001,"7","7",0,2.12921398715617,15.2407806384086
105,1,0.001,"1","1",0,2.12921398715617,15.2407806384086
106,1,0.001,"2","2",0,2.12921398715617,15.2407806384086
107,1,0.001,"3","3",0,2.12921398715617,15.2407806384086
108,1,0.001,"4","4",0,2.12921398715617,15.2407806384086
109,1,0.001,"5","5",1,2.12921398715617,15.2407806384086
110,1,0.001,"6","6",1,2.12921398715617,15.2407806384086
111,1,0.001,"7","7",0,2.12921398715617,15.2407806384086
112,1,0.001,"1","1",0,2.12921398715617,15.2407806384086
113,1,0.001,"2","2",0,2.12921398715617,15.2407806384086
114,1,0.001,"3","3",0,2.12921398715617,15.2407806384086
115,1,0.001,"4","4",0,2.12921398715617,15.2407806384086
116,1,0.001,"5","5",1,2.12921398715617,15.2407806384086
117,1,0.001,"6","6",1,2.12921398715617,15.2407806384086
118,1,0.001,"7","7",0,2.12921398715617,15.2407806384086
119,1,0.001,"1","1",0,2.12921398715617,15.2407806384086
59,2,0,"4","5",0,2.12921398715617,15.2407806384086
60,2,0,"5","6",1,2.12921398715617,15.2407806384086
61,2,0,"6","7",1,2.12921398715617,15.2407806384086
62,2,0,"7","1",0,2.12921398715617,15.2407806384086
63,2,0,"1","2",0,2.12921398715617,15.2407806384086
64,2,0,"2","3",0,2.12921398715617,15.2407806384086
65,2,0,"3","4",0,2.12921398715617,15.2407806384086
66,2,0,"4","5",0,2.12921398715617,15.2407806384086
67,2,0,"5","6",1,2.12921398715617,15.2407806384086
68,2,0,"6","7",1,2.12921398715617,15.2407806384086
69,2,0,"7","1",0,2.12921398715617,15.2407806384086
70,2,0,"1","2",0,2.12921398715617,15.2407806384086
71,2,0,"2","3",0,2.12921398715617,15.2407806384086
72,2,0,"3","4",0,2.12921398715617,15.2407806384086
73,2,0,"4","5",0,2.12921398715617,15.2407806384086
74,2,0,"5","6",1,2.12921398715617,15.2407806384086
75,2,0,"6","7",1,2.12921398715617,15.2407806384086
76,2,0,"7","1",0,2.12921398715617,15.2407806384086
77,2,0,"1","2",0,2.12921398715617,15.2407806384086
78,2,0,"2","3",0,2.12921398715617,15.2407806384086
79,2,0,"3","4",0,2.12921398715617,15.2407806384086
80,2,0,"4","5",0,2.12921398715617,15.2407806384086
81,2,0,"5","6",1,2.12921398715617,15.2407806384086
82,2,0,"6","7",1,2.12921398715617,15.2407806384086
83,2,0,"7","1",0,2.12921398715617,15.2407806384086
84,2,0,"1","2",0,2.12921398715617,15.2407806384086
85,2,0,"2","3",0,2.12921398715617,15.2407806384086
86,2,0,"3","4",0,2.12921398715617,15.2407806384086
87,2,0,"4","5",0,2.12921398715617,15.2407806384086
88,2,0,"5","6",1,2.12921398715617,15.2407806384086
89,2,0,"6","7",1,2.12921398715617,15.2407806384086
90,2,0,"7","1",0,2.12921398715617,15.2407806384086
91,2,0,"1","2",0,2.12921398715617,15.2407806384086
92,2,0,"2","3",0,2.12921398715617,15.2407806384086
93,2,0,"3","4",0,2.12921398715617,15.2407806384086
94,2,0,"4","5",0,2.12921398715617,15.2407806384086
95,2,0,"5","6",1,2.12921398715617,15.2407806384086
96,2,0,"6","7",1,2.12921398715617,15.2407806384086
97,2,0,"7","1",0,2.12921398715617,15.2407806384086
98,2,0,"1","2",0,2.12921398715617,15.2407806384086
99,2,0,"2","3",0,2.12921398715617,15.2407806384086
100,2,0,"3","4",0,2.12921398715617,15.2407806384086
101,2,0,"4","5",0,2.12921398715617,15.2407806384086
102,2,0,"5","6",1,2.12921398715617,15.2407806384086
103,2,0,"6","7",1,2.12921398715617,15.2407806384086
104,2,0,"7","1",0,2.12921398715617,15.2407806384086
